Periodo,Nacimientos registrados
1994,"2,904,389"
1995,"2,750,444"
1996,"2,707,718"
1997,"2,698,425"
1998,"2,668,428"
1999,"2,769,089"
2000,"2,798,339"
2001,"2,767,610"
2002,"2,699,084"
2003,"2,655,894"
2004,"2,625,056"
2005,"2,567,906"
2006,"2,505,939"
2007,"2,655,083"
2008,"2,636,110"
2009,"2,577,214"
2010,"2,643,908"
2011,"2,586,287"
2012,"2,498,880"
2013,"2,478,889"
2014,"2,463,420"
2015,"2,353,596"
2016,"2,293,708"
2017,"2,234,039"
2018,"2,162,535"
2019,"2,092,214"
2020,"1,629,211"
2021,"1,912,178"
2022,"1,891,388"
